GEO_NAME,Income,Gini,Category,Count,right_edges,gini_cdf,gini_original,error_pct,error_pct_squared
Terra Nova--The Peninsulas,74700,0.312,"$15,000 to $19,999",670,19999,0.3772424565537986,0.312,0.20911043767243148,0.043727175143555855
Terra Nova--The Peninsulas,74700,0.312,"$20,000 to $24,999",2895,24999,0.3772424565537986,0.312,0.20911043767243148,0.043727175143555855
Terra Nova--The Peninsulas,74700,0.312,"$25,000 to $29,999",1555,29999,0.3772424565537986,0.312,0.20911043767243148,0.043727175143555855
Terra Nova--The Peninsulas,74700,0.312,"$30,000 to $34,999",2300,34999,0.3772424565537986,0.312,0.20911043767243148,0.043727175143555855
Terra Nova--The Peninsulas,74700,0.312,"$35,000 to $39,999",2490,39999,0.3772424565537986,0.312,0.20911043767243148,0.043727175143555855
Terra Nova--The Peninsulas,74700,0.312,"$40,000 to $44,999",1810,44999,0.3772424565537986,0.312,0.20911043767243148,0.043727175143555855
Terra Nova--The Peninsulas,74700,0.312,"$45,000 to $49,999",1580,49999,0.3772424565537986,0.312,0.20911043767243148,0.043727175143555855
Terra Nova--The Peninsulas,74700,0.312,"$50,000 to $59,999",3030,59999,0.3772424565537986,0.312,0.20911043767243148,0.043727175143555855
Terra Nova--The Peninsulas,74700,0.312,"$60,000 to $69,999",2760,69999,0.3772424565537986,0.312,0.20911043767243148,0.043727175143555855
Terra Nova--The Peninsulas,74700,0.312,"$70,000 to $79,999",2410,79999,0.3772424565537986,0.312,0.20911043767243148,0.043727175143555855
Terra Nova--The Peninsulas,74700,0.312,"$80,000 to $89,999",2160,89999,0.3772424565537986,0.312,0.20911043767243148,0.043727175143555855
Terra Nova--The Peninsulas,74700,0.312,"$90,000 to $99,999",1850,99999,0.3772424565537986,0.312,0.20911043767243148,0.043727175143555855
Terra Nova--The Peninsulas,74700,0.312,"$100,000 to $124,999",3210,124999,0.3772424565537986,0.312,0.20911043767243148,0.043727175143555855
Terra Nova--The Peninsulas,74700,0.312,"$125,000 to $149,999",1885,149999,0.3772424565537986,0.312,0.20911043767243148,0.043727175143555855
Terra Nova--The Peninsulas,74700,0.312,"$150,000 to $199,999",1900,199999,0.3772424565537986,0.312,0.20911043767243148,0.043727175143555855
Terra Nova--The Peninsulas,74700,0.312,"$200,000 and over",1190,Inf,0.3772424565537986,0.312,0.20911043767243148,0.043727175143555855
Cardigan,91700,0.307,"Under $5,000",160,5000,0.37239606187202456,0.307,0.21301648818249044,0.04537602423760109
Cardigan,91700,0.307,"$5,000 to $9,999",70,9999,0.37239606187202456,0.307,0.21301648818249044,0.04537602423760109
Cardigan,91700,0.307,"$10,000 to $14,999",170,14999,0.37239606187202456,0.307,0.21301648818249044,0.04537602423760109
Cardigan,91700,0.307,"$15,000 to $19,999",250,19999,0.37239606187202456,0.307,0.21301648818249044,0.04537602423760109
Cardigan,91700,0.307,"$20,000 to $24,999",805,24999,0.37239606187202456,0.307,0.21301648818249044,0.04537602423760109
Cardigan,91700,0.307,"$25,000 to $29,999",530,29999,0.37239606187202456,0.307,0.21301648818249044,0.04537602423760109
Cardigan,91700,0.307,"$30,000 to $34,999",620,34999,0.37239606187202456,0.307,0.21301648818249044,0.04537602423760109
Cardigan,91700,0.307,"$35,000 to $39,999",730,39999,0.37239606187202456,0.307,0.21301648818249044,0.04537602423760109
Cardigan,91700,0.307,"$40,000 to $44,999",635,44999,0.37239606187202456,0.307,0.21301648818249044,0.04537602423760109
Cardigan,91700,0.307,"$45,000 to $49,999",645,49999,0.37239606187202456,0.307,0.21301648818249044,0.04537602423760109
Cardigan,91700,0.307,"$50,000 to $59,999",1235,59999,0.37239606187202456,0.307,0.21301648818249044,0.04537602423760109
Cardigan,91700,0.307,"$60,000 to $69,999",1165,69999,0.37239606187202456,0.307,0.21301648818249044,0.04537602423760109
Cardigan,91700,0.307,"$70,000 to $79,999",1175,79999,0.37239606187202456,0.307,0.21301648818249044,0.04537602423760109
Cardigan,91700,0.307,"$80,000 to $89,999",1120,89999,0.37239606187202456,0.307,0.21301648818249044,0.04537602423760109
Cardigan,91700,0.307,"$90,000 to $99,999",960,99999,0.37239606187202456,0.307,0.21301648818249044,0.04537602423760109
Cardigan,91700,0.307,"$100,000 to $124,999",1930,124999,0.37239606187202456,0.307,0.21301648818249044,0.04537602423760109
Cardigan,91700,0.307,"$125,000 to $149,999",1320,149999,0.37239606187202456,0.307,0.21301648818249044,0.04537602423760109
Cardigan,91700,0.307,"$150,000 to $199,999",1325,199999,0.37239606187202456,0.307,0.21301648818249044,0.04537602423760109
Cardigan,91700,0.307,"$200,000 and over",865,Inf,0.37239606187202456,0.307,0.21301648818249044,0.04537602423760109
Charlottetown,83400,0.344,"Under $5,000",260,5000,0.3990691465481998,0.344,0.16008472833779022,0.025627120246984096
Charlottetown,83400,0.344,"$5,000 to $9,999",140,9999,0.3990691465481998,0.344,0.16008472833779022,0.025627120246984096
Charlottetown,83400,0.344,"$10,000 to $14,999",335,14999,0.3990691465481998,0.344,0.16008472833779022,0.025627120246984096
Charlottetown,83400,0.344,"$15,000 to $19,999",440,19999,0.3990691465481998,0.344,0.16008472833779022,0.025627120246984096
Charlottetown,83400,0.344,"$20,000 to $24,999",1060,24999,0.3990691465481998,0.344,0.16008472833779022,0.025627120246984096
Charlottetown,83400,0.344,"$25,000 to $29,999",765,29999,0.3990691465481998,0.344,0.16008472833779022,0.025627120246984096
Charlottetown,83400,0.344,"$30,000 to $34,999",775,34999,0.3990691465481998,0.344,0.16008472833779022,0.025627120246984096
Charlottetown,83400,0.344,"$35,000 to $39,999",790,39999,0.3990691465481998,0.344,0.16008472833779022,0.025627120246984096
Charlottetown,83400,0.344,"$40,000 to $44,999",840,44999,0.3990691465481998,0.344,0.16008472833779022,0.025627120246984096
Charlottetown,83400,0.344,"$45,000 to $49,999",760,49999,0.3990691465481998,0.344,0.16008472833779022,0.025627120246984096
Charlottetown,83400,0.344,"$50,000 to $59,999",1565,59999,0.3990691465481998,0.344,0.16008472833779022,0.025627120246984096
Charlottetown,83400,0.344,"$60,000 to $69,999",1380,69999,0.3990691465481998,0.344,0.16008472833779022,0.025627120246984096
Charlottetown,83400,0.344,"$70,000 to $79,999",1195,79999,0.3990691465481998,0.344,0.16008472833779022,0.025627120246984096
Charlottetown,83400,0.344,"$80,000 to $89,999",1070,89999,0.3990691465481998,0.344,0.16008472833779022,0.025627120246984096
Charlottetown,83400,0.344,"$90,000 to $99,999",940,99999,0.3990691465481998,0.344,0.16008472833779022,0.025627120246984096
Charlottetown,83400,0.344,"$100,000 to $124,999",1700,124999,0.3990691465481998,0.344,0.16008472833779022,0.025627120246984096
