"","male","union_both","party_close"
"590",0,NA,0.5
"591",1,1,NA
"592",0,0,NA
"593",0,NA,0.5
"594",1,NA,0.5
"595",1,NA,0.5
"596",0,1,0.5
"597",0,1,0.5
"598",1,0,1
"599",1,NA,NA
"600",1,0,0
"601",1,0,0
"602",1,0,1
"603",1,0,0.5
"604",0,NA,1
"605",1,1,0.5
"606",1,0,1
"607",1,NA,0.5
"608",1,1,0.5
"609",0,NA,1
"610",0,NA,0.5
"611",0,NA,0
"612",0,NA,0
"613",1,0,1
"614",0,1,0.5
"615",1,NA,0.5
"616",1,NA,0.5
"617",0,NA,NA
"618",1,1,0.5
"619",0,NA,1
"620",0,NA,0.5
"621",1,1,NA
"622",0,NA,0
"623",1,NA,0.5
"624",0,0,0
"625",0,0,0.5
"626",0,0,0.5
"627",1,0,1
"628",0,NA,0.5
"629",0,1,1
"630",0,1,NA
"631",0,NA,NA
"632",1,0,0.5
"633",0,0,0.5
"634",1,NA,1
"635",0,1,1
"636",1,1,NA
"637",1,NA,NA
"638",1,1,1
"639",1,NA,0
"640",0,NA,0
"641",1,NA,NA
"642",0,1,NA
"643",1,NA,0
"644",0,NA,NA
"645",1,NA,0.5
"646",1,0,0.5
"647",1,NA,NA
"648",1,0,1
"649",0,1,0.5
"650",0,NA,NA
"651",1,1,0.5
"652",0,1,NA
"653",0,NA,0
"654",0,0,0.5
"655",1,NA,0.5
"656",1,0,0.5
"657",0,NA,0.5
"658",1,1,NA
"659",1,NA,NA
"660",1,0,0
"661",0,0,0.5
"662",0,NA,0
"663",1,1,0.5
"664",0,1,0
"665",1,1,0.5
"666",0,NA,0
"667",0,NA,NA
"668",0,1,0
"669",0,NA,0.5
"670",0,NA,0
"671",0,NA,0
"672",0,NA,0.5
"673",0,0,1
"674",1,1,0.5
"675",0,NA,NA
"676",0,0,NA
"677",0,0,NA
"678",1,0,1
"679",1,NA,1
"680",0,NA,NA
"681",0,1,1
"682",1,NA,NA
"683",0,NA,0
"684",1,0,0
"685",1,NA,1
"686",1,NA,NA
"687",0,NA,0
"688",0,1,NA
"689",0,0,0.5
"690",1,NA,NA
"691",0,NA,0
"692",1,0,0.5
"693",1,0,0.5
"694",0,NA,NA
"695",1,NA,NA
"696",1,0,NA
"697",1,0,NA
"698",0,0,NA
"699",1,NA,0.5
"700",1,NA,0.5
"701",1,NA,NA
"702",1,1,1
"703",0,NA,0.5
"704",0,NA,0.5
"705",0,1,NA
"706",0,NA,1
"707",0,1,1
"708",1,NA,0.5
"709",1,1,0.5
"710",0,1,NA
"711",1,NA,NA
"712",1,NA,1
"713",1,NA,0.5
"714",1,NA,0.5
"715",1,NA,NA
"716",0,NA,1
"717",0,1,0
"718",0,0,0.5
"719",1,0,0.5
"720",1,0,0
"721",0,NA,1
"722",0,1,0.5
"723",0,0,1
"724",0,0,0
"725",1,0,0.5
"726",1,0,0.5
"727",0,0,0.5
"728",1,0,0
"729",0,NA,1
"730",1,NA,1
"731",0,NA,NA
"732",1,0,0.5
"733",1,0,0.5
"734",1,0,0.5
"735",1,0,NA
"736",1,0,NA
"737",0,0,0.5
"738",1,1,0
"739",1,NA,0.5
"740",0,NA,NA
"741",1,NA,1
"742",0,NA,1
"743",1,1,0.5
"744",0,1,NA
"745",1,1,1
"746",0,0,0
"747",0,0,NA
"748",1,0,0.5
"749",1,NA,1
"750",1,1,NA
"751",0,1,1
"752",1,1,1
"753",0,0,0.5
"754",0,NA,0.5
"755",1,NA,0.5
"756",0,NA,1
"757",1,NA,0.5
"758",1,0,0.5
"759",1,NA,0.5
"760",1,NA,1
"761",1,0,0
"762",0,NA,0.5
"763",1,1,NA
"764",0,NA,0.5
"765",1,0,NA
"766",0,NA,0.5
"767",0,0,0.5
"768",1,0,1
"769",1,NA,0.5
"770",0,NA,0.5
"771",1,0,1
"772",0,NA,NA
"773",1,0,1
"774",1,NA,0.5
"775",1,NA,0.5
"776",0,1,1
"777",0,0,1
"778",0,NA,0
"779",0,NA,NA
"780",0,NA,1
"781",1,0,1
"782",0,NA,1
"783",0,NA,0
"784",1,NA,1
"785",0,NA,0.5
"786",0,0,1
"787",0,NA,0.5
"788",1,1,NA
"789",1,0,0.5
"790",1,0,1
"791",1,0,0
"792",1,NA,0.5
"793",1,NA,1
"794",1,NA,NA
"795",1,NA,NA
"796",1,NA,NA
"797",0,0,NA
"798",1,1,NA
"799",0,NA,NA
"800",1,NA,0.5
"801",0,NA,1
"802",1,1,1
"803",1,NA,NA
"804",1,NA,0.5
"805",1,1,0.5
"806",1,NA,NA
"807",0,NA,0.5
"808",0,0,1
"809",1,NA,1
"810",0,1,0
"811",0,NA,1
"812",0,NA,0.5
"813",1,NA,0.5
"814",1,0,0
"815",0,NA,1
"816",1,0,0
"817",1,0,0.5
"818",0,NA,0.5
"819",1,1,0.5
"820",1,NA,0.5
"821",0,1,0
"822",0,0,NA
"823",1,0,0.5
"824",0,NA,NA
"825",0,1,0
"826",1,NA,0
"827",0,1,NA
"828",0,1,0
"829",1,1,0.5
"830",0,NA,0.5
"831",1,NA,0.5
"832",0,0,0.5
"833",0,NA,0.5
"834",0,1,0.5
"835",0,NA,1
"836",0,0,0.5
"837",1,1,NA
"838",1,NA,0.5
"839",1,1,1
"840",0,NA,NA
"841",1,NA,NA
"842",0,1,NA
"843",1,NA,1
"844",0,NA,1
"845",0,1,NA
"846",0,NA,1
"847",1,NA,1
"848",0,NA,NA
"849",1,1,NA
"850",1,NA,NA
"851",1,NA,0.5
"852",0,1,NA
"853",1,NA,NA
"854",0,1,NA
"855",0,NA,NA
"856",0,NA,NA
"857",0,NA,NA
"858",0,NA,NA
"859",0,1,NA
"860",1,NA,NA
"861",1,NA,0
"862",0,NA,0.5
"863",0,NA,0.5
"864",0,NA,1
"865",1,NA,0.5
"866",0,NA,1
"867",0,NA,1
"868",0,NA,0
"869",0,0,0
"870",1,NA,0.5
"871",0,NA,0.5
"872",1,1,0.5
"873",1,NA,0
"874",1,NA,0.5
"875",0,1,0
"876",1,0,0.5
"877",1,NA,0.5
"878",1,NA,0.5
"879",1,0,NA
"880",0,1,1
"881",0,NA,0
"882",0,0,0
"883",1,1,NA
"884",1,NA,0
"885",0,1,0.5
"886",0,1,1
"887",0,1,0.5
"888",1,1,NA
"889",1,0,0.5
"890",1,NA,0.5
"891",1,NA,1
"892",0,NA,0.5
"893",0,NA,0.5
"894",0,0,0.5
"895",0,0,0
"896",0,NA,1
"897",1,NA,0.5
"898",1,NA,0.5
"899",1,NA,NA
"900",1,0,0
"901",1,NA,1
"902",0,NA,NA
"903",0,0,1
"904",0,NA,0
"905",1,0,0.5
"906",1,1,0
"907",0,NA,NA
"908",0,0,1
"909",0,1,0.5
"910",1,NA,0
"911",1,1,0.5
"912",1,1,1
"913",1,0,0.5
"914",1,0,0.5
"915",1,0,0.5
"916",0,0,NA
"917",1,NA,0.5
"918",1,1,0.5
"919",1,1,0.5
"920",0,0,0.5
"921",0,1,0.5
"922",1,NA,0.5
"923",1,NA,0
"924",1,1,1
"925",1,1,1
"926",1,1,1
"927",0,NA,NA
"928",1,1,0
"929",1,0,NA
"930",0,1,0.5
"931",0,NA,1
"932",1,NA,1
"933",1,1,NA
"934",0,NA,0.5
"935",1,0,0.5
"936",0,0,0.5
"937",1,1,0.5
"938",1,NA,0.5
"939",0,NA,NA
"940",1,0,0.5
"941",0,NA,0.5
"942",0,0,0.5
"943",1,NA,0.5
"944",1,1,1
"945",1,0,0.5
"946",0,0,0.5
"947",1,0,0.5
"948",0,NA,0.5
"949",1,0,NA
"950",1,1,0.5
"951",0,NA,NA
"952",1,NA,0.5
"953",1,0,1
"954",0,0,0.5
"955",0,NA,1
"956",0,0,1
"957",0,NA,1
"958",0,0,0
"959",1,NA,0.5
"960",1,NA,0.5
"961",1,0,0.5
"962",0,NA,0.5
"963",1,NA,0.5
"964",1,NA,0.5
"965",1,1,0.5
"966",1,0,1
"967",1,0,0.5
"968",0,0,NA
"969",1,0,0.5
"970",0,0,1
"971",0,0,0.5
"972",0,0,NA
"973",1,0,0.5
"974",0,0,NA
"975",0,1,0
"976",0,NA,1
"977",0,0,0.5
"978",1,NA,NA
"979",0,NA,0.5
"980",0,1,0.5
"981",0,0,0
"982",0,0,0.5
"983",1,NA,0.5
"984",1,NA,0.5
"985",0,1,0.5
"986",0,1,0.5
"987",0,NA,0
"988",0,0,0.5
"989",1,NA,0
"990",1,NA,0
"991",1,0,0
"992",0,0,0.5
"993",0,0,0.5
"994",0,0,0.5
"995",1,1,0.5
"996",1,1,0.5
"997",0,NA,0.5
"998",0,NA,0.5
"999",1,NA,1
"1000",1,0,NA
"1001",0,NA,0.5
"1002",1,NA,1
"1003",1,NA,1
"1004",1,NA,NA
"1005",0,1,1
"1006",1,NA,NA
"1007",1,NA,NA
"1008",1,NA,NA
"1009",1,1,NA
"1010",1,NA,0
"1011",1,1,0
"1012",0,NA,0.5
"1013",1,NA,0.5
"1014",0,NA,1
"1015",0,NA,1
"1016",1,NA,0.5
"1017",1,NA,0
"1018",0,NA,0
"1019",0,0,1
"1020",0,NA,0.5
"1021",0,0,1
"1022",0,0,0.5
"1023",0,0,1
"1024",0,0,1
"1025",0,0,0.5
"1026",1,1,0.5
"1027",1,NA,1
"1028",1,NA,1
"1029",0,1,0.5
"1030",1,NA,0.5
"1031",1,NA,0.5
"1032",1,0,0.5
"1033",0,NA,0.5
"1034",1,NA,0.5
"1035",0,0,0.5
"1036",1,NA,NA
"1037",1,0,0.5
"1038",1,0,1
"1039",0,NA,1
"1040",0,0,0.5
"1041",1,NA,0
"1042",1,NA,NA
"1043",1,NA,0.5
"1044",1,NA,0.5
"1045",1,1,0
"1046",1,1,0.5
"1047",1,0,0.5
"1048",1,0,0.5
"1049",0,0,0
"1050",0,0,1
"1051",1,NA,NA
"1052",0,1,1
"1053",1,1,0
"1054",0,0,1
"1055",1,NA,0.5
"1056",0,1,1
"1057",0,0,NA
"1058",0,NA,1
"1059",1,NA,1
"1060",0,NA,0.5
"1061",0,NA,0.5
"1062",0,NA,0.5
"1063",1,1,NA
"1064",0,NA,0.5
"1065",1,0,0
"1066",1,0,0.5
"1067",1,0,0
"1068",1,0,0
"1069",1,1,0.5
"1070",1,NA,0.5
"1071",1,0,0.5
"1072",1,0,NA
"1073",1,1,0.5
"1074",0,NA,NA
"1075",0,1,0
"1076",0,0,0.5
"1077",0,1,0.5
"1078",0,1,1
"1079",1,0,0
"1080",1,1,0.5
"1081",0,1,0.5
"1082",1,NA,0
"1083",0,0,1
"1084",0,NA,1
"1085",0,NA,NA
"1086",0,NA,0.5
"1087",0,0,0.5
"1088",0,NA,NA
"1089",0,NA,0.5
"1090",1,NA,0.5
"1091",0,NA,0.5
"1092",1,NA,0.5
"1093",0,0,1
"1094",0,NA,0
"1095",0,NA,0.5
"1096",0,NA,1
"1097",0,0,0
"1098",0,0,1
"1099",0,0,0
"1100",0,0,NA
"1101",0,NA,1
"1102",0,NA,0.5
"1103",0,0,0
"1104",0,NA,NA
"1105",0,1,1
"1106",1,1,0.5
"1107",0,1,0.5
"1108",1,1,1
"1109",0,1,1
"1110",0,1,NA
"1111",0,0,1
"1112",0,1,1
"1113",1,0,0.5
"1114",1,0,0.5
"1115",0,1,0.5
"1116",0,1,0.5
"1117",1,NA,0.5
"1118",0,1,1
"1119",1,1,1
"1120",1,NA,1
"1121",0,NA,1
"1122",0,NA,0.5
"1123",0,NA,0.5
"1124",0,NA,1
"1125",1,NA,0
"1126",1,NA,0.5
"1127",1,0,0.5
"1128",1,1,1
"1129",1,NA,1
"1130",1,0,0.5
"1131",1,NA,0.5
"1132",1,1,0.5
"1133",1,NA,0.5
"1134",1,0,NA
"1135",1,0,0.5
"1136",1,1,1
"1137",0,NA,0
"1138",0,NA,0.5
"1139",1,NA,0.5
"1140",1,0,0
"1141",1,NA,0.5
"1142",0,1,1
"1143",1,0,0.5
"1144",0,0,0
"1145",0,0,0.5
"1146",0,0,0.5
"1147",0,0,0
"1148",0,NA,0.5
"1149",0,0,0.5
"1150",1,NA,0.5
"1151",0,0,0
"1152",0,0,0.5
"1153",0,0,0
"1154",0,NA,0.5
"1155",0,0,0
"1156",0,0,1
"1157",0,0,0.5
"1158",0,NA,1
"1159",0,0,0.5
"1160",1,NA,NA
"1161",1,0,0
"1162",0,0,1
"1163",0,0,0.5
"1164",0,NA,0.5
"1165",1,NA,0.5
"1166",1,0,0.5
"1167",0,0,NA
"1168",1,NA,NA
"1169",1,0,0.5
"1170",0,1,1
"1171",1,NA,NA
"1172",1,0,0
"1173",1,NA,0.5
"1174",1,0,1
"1175",1,NA,1
"1176",1,NA,NA
"1177",1,NA,NA
"1178",1,NA,1
"1179",1,NA,1
"1180",0,NA,0.5
"1181",0,0,NA
"1182",1,NA,NA
"1183",0,0,0.5
"1184",1,NA,1
"1185",1,1,0.5
"1186",1,NA,0
"1187",0,0,0.5
"1188",0,NA,0.5
"1189",0,0,1
"1190",0,1,0.5
"1191",0,1,0.5
"1192",0,NA,0
"1193",1,1,0
"1194",1,1,0.5
"1195",0,0,0
"1196",0,NA,0
"1197",0,NA,0.5
"1198",0,0,0.5
"1199",0,1,NA
"1200",1,NA,0
"1201",1,1,1
"1202",0,NA,1
"1203",1,NA,NA
"1204",1,1,0.5
"1205",1,NA,0.5
"1206",0,NA,NA
"1207",1,NA,0
"1208",0,1,0
"1209",1,1,1
"1210",1,0,0
"1211",1,0,0.5
"1212",0,NA,NA
"1213",0,NA,1
"1214",0,1,1
"1215",1,1,0.5
"1216",0,0,NA
"1217",0,NA,0.5
"1218",1,NA,NA
"1219",0,1,0.5
"1220",1,0,NA
"1221",1,NA,0.5
"1222",1,1,0.5
"1223",1,0,0
"1224",1,NA,0
"1225",0,0,NA
"1226",1,0,0
"1227",0,NA,0.5
"1228",1,0,0.5
"1229",1,NA,0
"1230",1,1,0.5
"1231",1,NA,0.5
"1232",0,NA,1
"1233",1,NA,0.5
"1234",0,1,NA
"1235",1,0,NA
"1236",0,1,0.5
"1237",0,NA,NA
"1238",0,NA,1
"1239",1,NA,0.5
"1240",1,NA,0
"1241",0,NA,NA
"1242",1,NA,0
"1243",0,0,0.5
"1244",1,NA,NA
"1245",1,NA,1
"1246",0,0,0.5
"1247",0,NA,0.5
"1248",0,0,0.5
"1249",1,1,0.5
"1250",1,NA,0.5
"1251",1,NA,0.5
"1252",0,NA,0.5
"1253",0,NA,0.5
"1254",0,NA,0.5
"1255",0,NA,0.5
"1256",0,0,0
"1257",1,0,1
"1258",1,NA,0.5
"1259",1,NA,0.5
"1260",1,0,1
"1261",0,0,0
"1262",0,NA,0
"1263",0,NA,1
"1264",0,0,0
"1265",1,0,1
"1266",0,0,0.5
"1267",0,NA,0.5
"1268",0,1,1
"1269",1,NA,1
"1270",1,1,0.5
"1271",0,1,1
"1272",0,NA,1
"1273",1,NA,0
"1274",1,0,0.5
"1275",0,NA,1
"1276",0,NA,1
"1277",0,NA,1
"1278",0,1,0
"1279",1,1,0
"1280",0,0,1
"1281",1,1,1
"1282",0,NA,NA
"1283",1,1,0.5
"1284",1,1,0.5
"1285",0,NA,0.5
"1286",1,1,1
"1287",1,1,NA
"1288",1,NA,0
"1289",0,NA,NA
"1290",0,1,1
"1291",1,1,0.5
"1292",0,1,0.5
"1293",0,NA,0
"1294",0,0,0.5
"1295",1,1,0.5
"1296",0,0,0
"1297",1,1,0.5
