FED,Province_Territory,All_Households,Under_5000,5000_9999,10000_14999,15000_19999,20000_24999,25000_29999,30000_39999,40000_and_over,Avg_Income,Median_Income,SE_Avg_Income,Avg_Value_Dwelling,Less_than_Grade9,Grades9_13_no_cert,Grades9_13_with_cert,Trades_cert,Other_nonuniv_no_cert,Other_nonuniv_with_cert,Univ_no_degree,Univ_with_degree
Laurier,Quebec,27980,5630,5930,4580,3640,3015,2025,1895,1265,15346,12406,153,42722,18805,8605,6400,1160,3275,4985,4950,5550
Laval,Quebec,35915,2010,2680,3415,4355,5155,4750,7215,6335,27457,25341,197,55029,17250,18660,16795,3135,7620,12080,7300,5650
Laval-des-Rapides,Quebec,35390,4335,4485,3415,4425,4285,3840,5720,5175,24961,21557,214,72858,14985,13405,13900,2815,7130,10960,7230,7290
Lévis,Quebec,35810,2985,3925,4000,4700,5350,4695,6235,4535,24377,22540,175,48624,19635,14455,16025,4065,6220,13740,4330,6295
Longueuil,Quebec,45320,4400,5625,5985,6760,6155,6205,6205,4940,21909,19918,144,53299,21790,21450,16565,3700,7615,12930,6255,6680
Lotbinière,Quebec,25300,2215,4035,3950,3825,3625,2900,2185,2185,20851,20851,207,42228,20685,11950,8930,2770,3810,7390,1975,2275
Louis-Hébert,Quebec,35470,2070,2965,3485,3990,5530,6105,6105,5175,30567,24563,266,65689,8365,10890,14245,2350,6935,13760,8960,16450
Manicouagan,Quebec,23920,1530,2100,2730,3090,3290,3810,3810,4640,27318,26302,218,36429,15015,13370,9415,3480,3370,8765,2495,2560
Matapédia-Matane,Quebec,17770,1795,3760,3055,2585,2000,1500,1655,1425,18849,15469,218,34539,15055,8410,7900,3010,2215,4800,1760,1505
Mégantic-Compton-Stanstead,Quebec,24985,2635,4155,4160,3780,3440,2280,2660,1865,19530,16876,193,38198,18115,13645,8990,2685,3110,6365,2540,2745
Missisquoi,Quebec,24515,1680,4010,3975,3495,3470,2515,2765,1930,20149,17911,195,46768,16940,13110,8920,2420,3095,5715,2855,2765
Montmorency-Orléans,Quebec,26070,2805,2825,3415,3410,3935,3350,4030,3305,24675,22595,315,49750,16320,10940,13720,3120,4370,9195,3090,3355
Montréal-Mercier,Quebec,30800,2670,3775,3480,4245,4435,3795,5055,3885,23550,21817,171,53195,21200,14805,14415,2800,5945,9370,3300,2360
Montréal-Sainte-Marie,Quebec,29555,5490,6695,4575,4220,3020,2105,2180,1265,15551,12782,156,42166,20800,11210,8110,1555,3715,5025,3480,3180
Mount Royal,Quebec,23665,880,1715,2260,2390,2430,2290,3725,8515,40304,29898,312,157024,11330,12450,9090,980,5690,6740,11410,15460
Notre-Dame-de-Grâce-Lachine,Quebec,33720,3785,5180,4920,4525,3770,3050,4100,4385,22320,18238,223,88786,14105,12610,9020,1410,4820,7410,8445,9570
Outremont,Quebec,32865,4635,5510,4385,3120,3780,3130,4100,4100,23313,21143,410,107251,12505,9350,7015,1100,4155,6475,8985,15125
Papineau,Quebec,30070,4635,6300,5250,4435,3385,2275,2410,1385,16335,13778,141,48621,22185,10910,9010,1665,4000,5950,3505,2500
Pontiac-Gatineau-Labelle,Quebec,21890,2305,4045,3630,2990,2490,1970,2420,2045,20080,16491,230,40161,18775,12805,6450,2900,2475,4370,2250,2570
Portneuf,Quebec,25780,1870,3340,3390,3755,3135,3550,3225,2595,22107,20484,172,40917,18190,11470,11920,3550,3680,8695,2255,3195
Québec-Est,Quebec,28990,3770,4600,4430,4430,4140,2650,3130,2185,19059,16834,169,47748,18500,11865,12660,2330,4690,8140,2825,2745
Richelieu,Quebec,25510,2385,3805,3370,3585,3155,3470,3225,2785,22003,20115,210,41043,18255,11515,10430,3980,4350,9615,2645,2800
Richmond-Wolfe,Quebec,20130,1790,3500,2860,2780,2130,2130,2470,1470,20084,18442,202,38216,16080,10980,7100,2835,2140,5520,1675,1470
Rimouski-Témiscouata,Quebec,23800,2170,4070,3590,3240,2425,2425,3225,2195,20994,18095,203,40529,16985,10230,11335,3375,3950,7415,3055,3085
Roberval,Quebec,19310,1585,2650,3040,3245,2720,1890,2440,1740,21377,18743,242,37825,15195,12220,8270,3775,2270,5545,1860,1660
Rosemont,Quebec,31040,4375,5645,4785,4625,3490,2835,3015,2260,18241,15579,156,54184,23005,11225,10055,1650,4655,6405,3555,2530
