FED,Province_Territory,All_Households,Avg_Income,Median_Income,SE_Avg_Income,Income,Count,right_edges,fit,warn,gini,fed_avg_income,fed_median_income
South West Nova,Nova Scotia,23135,17719,14682,186,X25000_29999,1765,29999,,FALSE,0.3774295969714083,17719,14682
South West Nova,Nova Scotia,23135,17719,14682,186,X30000_39999,1840,39999,,FALSE,0.3774295969714083,17719,14682
South West Nova,Nova Scotia,23135,17719,14682,186,X40000_and_over,1230,Inf,,FALSE,0.3774295969714083,17719,14682
Carleton-Charlotte,New Brunswick,21250,15727,16234,179,Under_5000,2125,5000,,TRUE,0.3508619934485242,15727,16234
Carleton-Charlotte,New Brunswick,21250,15727,16234,179,X5000_9999,4105,9999,,TRUE,0.3508619934485242,15727,16234
Carleton-Charlotte,New Brunswick,21250,15727,16234,179,X10000_14999,4105,14999,,TRUE,0.3508619934485242,15727,16234
Carleton-Charlotte,New Brunswick,21250,15727,16234,179,X15000_19999,3240,19999,,TRUE,0.3508619934485242,15727,16234
Carleton-Charlotte,New Brunswick,21250,15727,16234,179,X20000_24999,2680,24999,,TRUE,0.3508619934485242,15727,16234
Carleton-Charlotte,New Brunswick,21250,15727,16234,179,X25000_29999,2075,29999,,TRUE,0.3508619934485242,15727,16234
Carleton-Charlotte,New Brunswick,21250,15727,16234,179,X30000_39999,1915,39999,,TRUE,0.3508619934485242,15727,16234
Carleton-Charlotte,New Brunswick,21250,15727,16234,179,X40000_and_over,1175,Inf,,TRUE,0.3508619934485242,15727,16234
Fundy-Royal,New Brunswick,26635,21455,19244,179,Under_5000,2250,5000,,FALSE,0.3550816520041916,21455,19244
Fundy-Royal,New Brunswick,26635,21455,19244,179,X5000_9999,4050,9999,,FALSE,0.3550816520041916,21455,19244
Fundy-Royal,New Brunswick,26635,21455,19244,179,X10000_14999,3855,14999,,FALSE,0.3550816520041916,21455,19244
Fundy-Royal,New Brunswick,26635,21455,19244,179,X15000_19999,3840,19999,,FALSE,0.3550816520041916,21455,19244
Fundy-Royal,New Brunswick,26635,21455,19244,179,X20000_24999,4260,24999,,FALSE,0.3550816520041916,21455,19244
Fundy-Royal,New Brunswick,26635,21455,19244,179,X25000_29999,3010,29999,,FALSE,0.3550816520041916,21455,19244
Fundy-Royal,New Brunswick,26635,21455,19244,179,X30000_39999,3710,39999,,FALSE,0.3550816520041916,21455,19244
Fundy-Royal,New Brunswick,26635,21455,19244,179,X40000_and_over,2455,Inf,,FALSE,0.3550816520041916,21455,19244
Gloucester,New Brunswick,19570,19471,16206,208,Under_5000,1835,5000,,FALSE,0.37920068010771557,19471,16206
